Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape.norovirus	kappa.norovirus	ucldMean.norovirus	ucldStdev.norovirus	rate.norovirus.mean	rate.norovirus.variance	rate.norovirus.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
12500000	-1.971523138788E4	-1.790119599517E4	-1.814035392716E3	-1.762984297222E4	1.223195192821E1	2.528029254754E-1	2.265563063235E1	6.694461647281E-3	5.84496052662E-1	6.617787330782E-3	1.815846182663E-5	6.273022585119E-1	-1.77505901142E3	1.292561943737E1	2.595924536919E1	3.659205560865E1	1.5633293276E1	5.657375432696E0	32	266	3	119	22
13000000	-1.971562107436E4	-1.786261292716E4	-1.853008147195E3	-1.758801097051E4	1.099445564737E1	2.85391057794E-1	2.273565898151E1	5.968247431004E-3	5.320952927336E-1	6.087807264195E-3	1.107180635396E-5	5.69984421963E-1	-1.81045830998E3	1.529441288455E1	2.850899048252E1	2.917686232542E1	1.333427936561E1	4.685316680518E0	22	225	88	85	22
13500000	-1.963655936912E4	-1.783340437697E4	-1.803154992149E3	-1.755018697374E4	9.666289857737E0	2.54950827175E-1	2.262785398286E1	6.619336634324E-3	6.303937948697E-1	6.363902197342E-3	2.097653932455E-5	6.991707899607E-1	-1.76353950066E3	2.814481990728E1	6.037919391562E0	2.445722369559E1	2.401127252582E1	4.638107232777E0	327	50	1	35	29
14000000	-1.963264077237E4	-1.784676135478E4	-1.785879417589E3	-1.756755650615E4	1.181627681295E1	2.317143753344E-1	2.279407699973E1	6.635858829136E-3	6.646988248129E-1	6.381737098218E-3	2.065229682363E-5	6.960046688169E-1	-1.744292639182E3	2.73047608523E1	5.769662605718E1	5.453802134806E0	1.418928354751E1	3.352174212985E0	296	17	58	47	24
14500000	-1.97088783734E4	-1.790330846082E4	-1.805569912577E3	-1.762445565067E4	1.034580552154E1	2.854882329196E-1	2.186655721172E1	6.866141905694E-3	5.356732001525E-1	6.823705761533E-3	1.736992365436E-5	5.941757915295E-1	-1.758390254262E3	2.556872834266E1	2.7129842421E1	3.962735572635E1	1.091282491226E1	5.625622922339E0	154	124	20	114	30
15000000	-1.963644767854E4	-1.783523473458E4	-1.801212943963E3	-1.756622876734E4	1.155262468711E1	2.556744824054E-1	2.031553368125E1	6.604413600886E-3	5.616262483427E-1	6.46615650243E-3	1.574074062518E-5	5.936833702862E-1	-1.758015883408E3	1.414334196378E1	3.894329605801E1	2.988233174356E1	1.78674329079E1	3.715441178148E0	40	25	195	156	26
15500000	-1.966186226033E4	-1.789260959091E4	-1.769252669416E3	-1.760821491981E4	1.188953172802E1	2.786936234846E-1	2.42574973668E1	7.619872309038E-3	6.773433932452E-1	7.41096793798E-3	2.888988073122E-5	7.052768059961E-1	-1.730353750986E3	1.063052110069E1	1.793380707622E1	3.017224902273E1	1.29437406051E1	5.953427083006E0	26	45	191	155	25
16000000	-1.961448012238E4	-1.785438507471E4	-1.760095047671E3	-1.756883408526E4	1.311553025753E1	2.476637004098E-1	2.210129791504E1	6.869440616051E-3	5.851011062222E-1	6.638178977241E-3	1.675296914994E-5	5.947061297647E-1	-1.725614497415E3	1.484214147437E1	3.265433963062E1	1.401239196105E1	1.326436618539E1	2.783444986367E0	59	187	133	37	26
16500000	-1.969589548983E4	-1.789403742489E4	-1.801858064944E3	-1.760871308763E4	1.030424187454E1	2.638822033756E-1	2.171187907982E1	6.674590318017E-3	5.584000192848E-1	6.472659657607E-3	1.865521065978E-5	6.528861969978E-1	-1.763330391109E3	1.044643034994E1	1.725530448663E1	2.783637861144E1	1.331196535125E1	3.477712526373E0	25	18	277	104	18
17000000	-1.968196249662E4	-1.790239187088E4	-1.779570625731E3	-1.761797638156E4	9.846784472958E0	2.568839927586E-1	2.361381567309E1	7.093554091839E-3	6.171557366736E-1	6.831654349248E-3	2.346961397319E-5	6.898472892432E-1	-1.741079437634E3	1.116763657133E1	3.168712738545E1	1.403139018328E1	1.477527848365E1	3.340700119761E0	27	254	45	89	27
